3,2021-05-17-2021-06-25,8,,,,Internet,['Adam Stein'],ABS270,41242,A,2214,Sustainable Biological Systems
3,2021-05-17-2021-06-25,12,,,,Internet,['Adam Stein'],ABS270,47680,A,2214,Sustainable Biological Systems
3,2021-05-17-2021-06-25,20,,,,Internet,['Ms Julie Murphree'],ABS302,45157,A,2214,Ethical and Policy Issues in Biology
3,2021-07-05-2021-07-21,6,9:00 AM,12:45 PM,M T W Th,Santa Catalina Hall 135 (Poly),['Fabio Suzart de Albuquerque'],ABS350,43948,DYN,2214,Applied Statistics
2,2021-06-30-2021-08-10,89,,,,Internet,['Dr Chris Martin'],ABS360,41244,B,2214,Southwest Home Gardening
3,2021-05-17-2021-06-25,27,,,,Internet,['Oya Yazgan'],ABS394,42993,A,2214,Special Topics
3,2021-05-17-2021-06-25,12,,,,Internet,['Emel Topal'],ABS394,47600,A,2214,Special Topics
1,2021-05-17-2021-07-09,5,,,,Internet,['Dr Douglas Green'],ABS484,44273,C,2214,Internship
3,2021-05-17-2021-06-25,0,,,,Internet,['Kelly Steele'],ABS492,43385,A,2214,Honors Directed Study
3,2021-05-17-2021-07-09,1,,,,,['Jeffrey Kingsbury'],ABS492,46959,C,2214,Honors Directed Study
3,2021-05-17-2021-07-09,0,,,,Internet,['Dr Douglas Green'],ABS499,41245,C,2214,Individualized Instruction
3,2021-06-30-2021-08-10,2,,,,,['Fabio Suzart de Albuquerque'],ABS590,47997,B,2214,Reading and Conference
3,2021-05-17-2021-07-09,1,,,,Internet,"['Heather Bateman', 'Dr Douglas Green', 'Jesse Lewis', 'Yujin Park', 'Fabio Suzart de Albuquerque']",ABS592,41246,C,2214,Research
1,2021-05-17-2021-07-09,0,,,,Internet,"['Dr Douglas Green', 'Fabio Suzart de Albuquerque']",ABS599,41247,C,2214,Thesis
3,2021-06-30-2021-08-10,25,9:00 AM,10:45 AM,M T W Th,Business Admin C 324 (Tempe),['Summer Liu'],ACC231,40279,B,2214,Uses of Accounting Information I
3,2021-05-17-2021-06-25,76,,,,Internet,['John Dallmus'],ACC231,40841,A,2214,Uses of Accounting Information I
3,2021-05-17-2021-06-25,109,,,,Internet,['John Dallmus'],ACC231,42084,A,2214,Uses of Accounting Information I
3,2021-05-17-2021-06-25,62,,,,Internet,['John Dallmus'],ACC231,45974,A,2214,Uses of Accounting Information I
3,2021-05-17-2021-06-25,100,,,,Internet,['John Dallmus'],ACC231,45975,A,2214,Uses of Accounting Information I
3,2021-06-30-2021-08-10,100,,,,Internet,['John Dallmus'],ACC241,40004,B,2214,Uses of Accounting Information II
3,2021-05-17-2021-06-25,36,9:00 AM,10:45 AM,M T W Th,Business Admin 358 (Tempe),['Eugie Lee'],ACC241,40096,A,2214,Uses of Accounting Information II
3,2021-06-30-2021-08-10,133,,,,Internet,['John Dallmus'],ACC241,42085,B,2214,Uses of Accounting Information II
3,2021-06-30-2021-08-10,34,,,,Internet,['Karen Geiger'],ACC241,45978,B,2214,Uses of Accounting Information II
3,2021-06-30-2021-08-10,31,,,,Internet,['Karen Geiger'],ACC241,46063,B,2214,Uses of Accounting Information II
3,2021-05-17-2021-06-25,22,9:00 AM,10:45 AM,M T W Th,Business Admin C 311 (Tempe),['Nancy Cassidy'],ACC340,40054,A,2214,External Reporting I
3,2021-05-17-2021-06-25,30,11:00 AM,12:45 PM,M T W Th,Business Admin C 311 (Tempe),['Nancy Cassidy'],ACC340,41047,A,2214,External Reporting I
3,2021-05-17-2021-06-25,16,11:00 AM,12:45 PM,M T W Th,Business Admin C 324 (Tempe),['Matthew Fisher'],ACC350,43234,A,2214,Internal Reporting
3,2021-05-17-2021-06-25,42,,,,Internet,['Mindy Wolfe'],ACC382,42124,A,2214,Accounting and Financial Analysis
3,2021-05-17-2021-06-25,33,12:00 AM,1:00 AM,,Internet,['Mindy Wolfe'],ACC382,42125,A,2214,Accounting and Financial Analysis
3,2021-06-30-2021-08-10,27,1:00 PM,2:45 PM,M T W Th,Business Admin 257 (Tempe),['Mr Donald Frost'],ACC430,41992,B,2214,Taxes and Business Decisions
3,2021-05-17-2021-06-25,39,9:00 AM,10:45 AM,M T W Th,Business Admin C 324 (Tempe),['John Dallmus'],ACC440,40842,A,2214,External Reporting II
3,2021-06-30-2021-08-10,23,11:00 AM,12:45 PM,M T W Th,Business Admin C 324 (Tempe),['Perseus Munshi'],ACC444,43561,B,2214,Enterprise Process Analysis and Design
3,2021-06-30-2021-08-10,37,9:00 AM,10:45 AM,M T W Th,Business Admin C 201 (Tempe),['Lauren Matkaluk'],ACC450,41994,B,2214,Principles of Auditing
1.5,2021-06-28-2021-07-31,24,,,,Internet,['Dr Stephen Hillegeist'],ACC503,47453,DYN,2214,Managerial Accounting
3,2021-05-15-2021-05-30,30,,,,Shanghai,['Ian Curtiss'],ACC503,48168,DYN,2214,Managerial Accounting
3,2021-05-05-2021-06-10,49,1:00 PM,3:30 PM,M W Th,McCord Hall 164 (Tempe),['Gregory Dawson'],ACC507,43864,DYN,2214,Innovations with Auditing Technologies
3,2021-06-26-2021-07-04,28,,,,Shanghai,['Ian Curtiss'],ACC512,48169,DYN,2214,Advanced Auditing
3,2021-07-17-2021-07-25,29,,,,Shanghai,['Ian Curtiss'],ACC586,48170,DYN,2214,Shareholder Value Creation and Financial Statement Analysis
3,2021-05-05-2021-06-10,49,9:00 AM,11:30 AM,M W Th,McCord Hall 164 (Tempe),['Dr Steven Orpurt'],ACC591,43863,DYN,2214,Seminar
4,2021-05-15-2021-05-23,50,,,,Shanghai,['Benjamin Shao'],ACC591,48161,DYN,2214,Seminar
4,2021-08-07-2021-08-15,45,,,,Shanghai,['Benjamin Shao'],ACC591,48167,DYN,2214,Seminar
1,2021-05-17-2021-07-09,0,,,,Shanghai,['Wei Shen'],ACC595,40699,C,2214,Continuing Registration
